waktu,node,status,delay_ms,rssi_dbm,snr_db
07:04:52,Node2,reply,1100.5,-68,9.5
07:04:53,Node3,reply,1100.3,-68,9.5
07:04:54,Node1,reply,1100.3,-69,9.25
07:04:55,Node2,reply,1100.5,-67,9.75
07:04:57,Node3,reply,1100.7,-66,10.0
07:04:58,Node1,reply,1100.2,-69,9.75
07:04:59,Node2,reply,1100.2,-67,9.5
07:05:01,Node3,reply,1100.4,-66,9.5
07:05:02,Node1,reply,1100.2,-68,10.0
07:05:03,Node2,reply,1101.0,-67,9.5
07:05:05,Node3,reply,1100.6,-64,9.75
07:05:06,Node1,reply,1102.2,-66,9.5
07:05:07,Node2,reply,1099.9,-66,10.0
07:05:09,Node3,reply,1099.9,-65,9.75
07:05:10,Node1,timeout,,,
07:05:12,Node2,reply,1100.3,-66,9.5
07:05:13,Node3,reply,1100.6,-65,10.75
07:05:14,Node1,reply,1100.5,-67,9.5
07:05:16,Node2,reply,1100.3,-68,9.75
07:05:17,Node3,reply,1100.2,-65,9.75
07:05:18,Node1,reply,1100.8,-67,9.25
07:05:20,Node2,reply,1100.3,-65,9.75
07:05:21,Node3,reply,1100.1,-63,9.75
07:05:22,Node1,reply,1100.5,-66,9.25
07:05:24,Node2,reply,1100.4,-64,10.0
07:05:25,Node3,reply,1100.0,-63,10.25
07:05:26,Node1,reply,1100.1,-66,9.25
07:05:28,Node2,reply,1100.4,-63,9.75
07:05:29,Node3,reply,1100.4,-63,9.75
07:05:30,Node1,reply,1102.5,-66,9.5
07:05:31,Node2,reply,1100.3,-63,9.5
07:05:33,Node3,reply,1100.4,-64,9.5
07:05:34,Node1,reply,1100.3,-67,9.5
07:05:35,Node2,reply,1100.3,-64,9.5
07:05:37,Node3,reply,1100.1,-64,9.75
07:05:38,Node1,reply,1100.3,-67,9.5
07:05:39,Node2,reply,1100.0,-65,9.25
07:05:41,Node3,reply,1100.2,-67,9.75
07:05:42,Node1,reply,1100.6,-67,9.75
07:05:43,Node2,reply,1100.3,-64,10.0
07:05:45,Node3,timeout,,,
07:05:46,Node1,reply,1100.6,-68,9.75
07:05:48,Node2,reply,1100.3,-64,9.5
07:05:49,Node3,reply,1100.4,-65,10.0
07:05:50,Node1,reply,1100.4,-67,9.5
07:05:52,Node2,reply,1100.5,-65,9.5
07:05:53,Node3,reply,1100.3,-66,10.25
07:05:54,Node1,reply,1102.4,-67,9.0
07:05:56,Node2,reply,1100.4,-65,9.75
07:05:57,Node3,reply,1100.2,-66,9.5
07:05:58,Node1,reply,1100.2,-67,9.0
07:06:00,Node2,reply,1100.2,-65,9.75
07:06:01,Node3,reply,1100.2,-65,9.5
07:06:02,Node1,reply,1100.3,-66,9.25
07:06:03,Node2,reply,1100.5,-64,9.75
07:06:05,Node3,reply,1100.4,-65,9.75
07:06:06,Node1,reply,1100.4,-66,9.0
07:06:07,Node2,reply,1100.4,-65,9.5
07:06:09,Node3,reply,1099.8,-65,10.25
07:06:10,Node1,reply,1100.7,-66,9.5
07:06:11,Node2,reply,1100.3,-65,10.25
07:06:13,Node3,timeout,,,
07:06:14,Node1,reply,1100.5,-68,9.0
07:06:16,Node2,reply,1100.2,-64,9.5
07:06:17,Node3,reply,1100.0,-65,9.75
07:06:18,Node1,reply,1102.0,-66,9.25
07:06:20,Node2,reply,1100.7,-64,9.75
07:06:21,Node3,reply,1100.1,-65,10.0
07:06:22,Node1,reply,1100.5,-67,9.5
07:06:24,Node2,reply,1100.3,-65,9.75
07:06:25,Node3,reply,1100.2,-65,9.5
07:06:26,Node1,reply,1100.8,-66,9.25
07:06:28,Node2,reply,1100.8,-65,9.5
07:06:29,Node3,reply,1100.1,-65,9.75
07:06:31,Node1,timeout,,,
07:06:32,Node2,reply,1100.7,-66,10.0
07:06:33,Node3,reply,1100.8,-69,9.75
07:06:35,Node1,reply,1100.7,-68,9.0
07:06:36,Node2,reply,1101.1,-66,9.75
07:06:37,Node3,reply,1099.9,-66,9.5
07:06:39,Node1,reply,1100.5,-68,9.25
07:06:40,Node2,reply,1100.6,-66,9.75
07:06:41,Node3,reply,1100.7,-67,10.0
07:06:43,Node1,reply,1102.9,-68,9.0
07:06:44,Node2,reply,1100.3,-66,9.25
07:06:45,Node3,reply,1100.3,-68,9.5
07:06:47,Node1,timeout,,,
07:06:48,Node2,reply,1100.3,-66,9.5
07:06:49,Node3,reply,1101.0,-68,9.75
07:06:51,Node1,reply,1100.8,-68,9.5
07:06:52,Node2,reply,1100.4,-65,9.75
07:06:53,Node3,reply,1100.4,-67,10.25
07:06:55,Node1,reply,1101.4,-69,9.5
07:06:56,Node2,reply,1100.2,-66,10.0
07:06:57,Node3,reply,1100.5,-69,9.75
07:06:59,Node1,reply,1099.9,-68,9.0
07:07:00,Node2,reply,1099.9,-67,9.5
07:07:01,Node3,reply,1100.2,-69,9.0
07:07:03,Node1,timeout,,,
07:07:04,Node2,reply,1100.2,-65,9.75
07:07:06,Node3,reply,1100.8,-68,9.75
07:07:07,Node1,reply,1100.7,-68,9.75
07:07:08,Node2,reply,1100.9,-67,9.5
07:07:10,Node3,reply,1100.7,-69,9.5
07:07:11,Node1,reply,1100.1,-69,9.25
07:07:12,Node2,reply,1100.2,-67,9.5
07:07:14,Node3,reply,1100.9,-67,10.0
07:07:15,Node1,reply,1099.9,-69,9.25
07:07:16,Node2,reply,1100.3,-67,10.25
07:07:18,Node3,reply,1103.1,-67,9.5
07:07:19,Node1,reply,1100.2,-69,9.25
07:07:20,Node2,reply,1100.3,-65,9.75
07:07:22,Node3,reply,1100.7,-66,9.75
07:07:23,Node1,reply,1100.4,-68,9.5
07:07:24,Node2,reply,1100.3,-65,9.75
07:07:26,Node3,reply,1100.1,-67,9.75
07:07:27,Node1,reply,1099.8,-68,9.5
07:07:28,Node2,reply,1100.1,-66,10.0
07:07:29,Node3,reply,1100.7,-67,10.25
07:07:31,Node1,reply,1100.5,-67,9.75
07:07:32,Node2,reply,1100.3,-66,9.5
07:07:33,Node3,reply,1100.3,-67,10.0
07:07:35,Node1,reply,1100.4,-66,9.5
07:07:36,Node2,reply,1100.2,-65,9.5
07:07:37,Node3,reply,1100.6,-67,9.5
07:07:39,Node1,reply,1101.8,-66,9.25
07:07:40,Node2,reply,1100.1,-65,9.75
07:07:41,Node3,reply,1100.2,-66,9.5
07:07:43,Node1,reply,1100.5,-67,9.5
07:07:44,Node2,reply,1100.5,-65,10.0
07:07:45,Node3,reply,1100.6,-67,9.75
07:07:47,Node1,reply,1100.3,-68,9.5
07:07:48,Node2,reply,1100.4,-65,9.5
