timestamp,segmen,target,durasi_ms,ok,extra
2026-07-22 07:27:17,lora_link,Node3,1097.31,1,rssi=-62;snr=10.0;bytes=182
2026-07-22 07:27:17,firebase_upload,detection_system/node3,85.88,1,bytes=292
2026-07-22 07:27:18,lora_link,Node1,1100.79,1,rssi=-71;snr=9.25;bytes=182
2026-07-22 07:27:18,firebase_upload,detection_system/node1,75.17,1,bytes=292
2026-07-22 07:27:20,lora_link,Node2,1093.47,1,rssi=-72;snr=9.5;bytes=182
2026-07-22 07:27:20,firebase_upload,detection_system/node2,74.61,1,bytes=291
2026-07-22 07:27:21,lora_link,Node3,1093.36,1,rssi=-62;snr=9.5;bytes=182
2026-07-22 07:27:21,firebase_upload,detection_system/node3,70.62,1,bytes=291
2026-07-22 07:27:22,lora_link,Node1,1098.71,1,rssi=-70;snr=9.5;bytes=182
2026-07-22 07:27:22,firebase_upload,detection_system/node1,72.36,1,bytes=291
2026-07-22 07:27:24,lora_link,Node2,1092.81,1,rssi=-72;snr=9.5;bytes=182
2026-07-22 07:27:24,firebase_upload,detection_system/node2,67.29,1,bytes=291
2026-07-22 07:27:25,lora_link,Node3,1498.68,0,
2026-07-22 07:27:27,lora_link,Node1,1100.56,1,rssi=-70;snr=9.25;bytes=182
2026-07-22 07:27:27,firebase_upload,detection_system/node1,76.43,1,bytes=292
2026-07-22 07:27:28,lora_link,Node2,1100.31,1,rssi=-73;snr=9.5;bytes=182
2026-07-22 07:27:28,firebase_upload,detection_system/node2,86.18,1,bytes=291
2026-07-22 07:27:29,lora_link,Node3,1096.21,1,rssi=-63;snr=10.0;bytes=182
2026-07-22 07:27:29,firebase_upload,detection_system/node3,70.30,1,bytes=292
2026-07-22 07:27:31,lora_link,Node1,1097.06,1,rssi=-71;snr=9.0;bytes=182
2026-07-22 07:27:31,firebase_upload,detection_system/node1,70.25,1,bytes=291
2026-07-22 07:27:32,lora_link,Node2,1098.31,1,rssi=-72;snr=9.75;bytes=182
2026-07-22 07:27:32,firebase_upload,detection_system/node2,77.88,1,bytes=292
2026-07-22 07:27:33,lora_link,Node3,1099.65,1,rssi=-62;snr=10.0;bytes=182
2026-07-22 07:27:33,firebase_upload,detection_system/node3,71.21,1,bytes=292
2026-07-22 07:27:35,lora_link,Node1,1095.75,1,rssi=-70;snr=9.25;bytes=182
2026-07-22 07:27:35,firebase_upload,detection_system/node1,66.17,1,bytes=292
2026-07-22 07:27:36,lora_link,Node2,1100.58,1,rssi=-72;snr=10.25;bytes=182
2026-07-22 07:27:36,firebase_upload,detection_system/node2,66.49,1,bytes=293
2026-07-22 07:27:37,lora_link,Node3,1103.03,1,rssi=-61;snr=10.0;bytes=182
2026-07-22 07:27:37,firebase_upload,detection_system/node3,82.51,1,bytes=292
