timestamp,segmen,target,durasi_ms,ok,extra
2026-07-22 08:04:38,lora_link,Node2,1094.53,1,rssi=-65;snr=9.5;bytes=182
2026-07-22 08:04:38,firebase_upload,detection_system/node2,73.10,1,bytes=291
2026-07-22 08:04:40,lora_link,Node3,1095.20,1,rssi=-60;snr=10.25;bytes=182
2026-07-22 08:04:40,firebase_upload,detection_system/node3,68.47,1,bytes=293
2026-07-22 08:04:41,lora_link,Node1,1098.79,1,rssi=-65;snr=9.75;bytes=182
2026-07-22 08:04:41,firebase_upload,detection_system/node1,69.09,1,bytes=292
2026-07-22 08:04:42,lora_link,Node2,1099.09,1,rssi=-66;snr=9.75;bytes=182
2026-07-22 08:04:42,firebase_upload,detection_system/node2,76.22,1,bytes=292
2026-07-22 08:04:43,lora_link,Node3,1099.07,1,rssi=-61;snr=9.5;bytes=182
2026-07-22 08:04:44,firebase_upload,detection_system/node3,77.83,1,bytes=291
2026-07-22 08:04:45,lora_link,Node1,1098.44,1,rssi=-64;snr=9.5;bytes=182
2026-07-22 08:04:45,firebase_upload,detection_system/node1,67.41,1,bytes=291
2026-07-22 08:04:46,lora_link,Node2,1098.65,1,rssi=-66;snr=9.75;bytes=182
2026-07-22 08:04:46,firebase_upload,detection_system/node2,73.94,1,bytes=292
2026-07-22 08:04:47,lora_link,Node3,1092.76,1,rssi=-60;snr=9.25;bytes=182
2026-07-22 08:04:48,firebase_upload,detection_system/node3,80.89,1,bytes=292
2026-07-22 08:04:49,lora_link,Node1,1098.32,1,rssi=-65;snr=9.75;bytes=182
2026-07-22 08:04:49,firebase_upload,detection_system/node1,95.86,1,bytes=292
2026-07-22 08:04:50,lora_link,Node2,1100.84,1,rssi=-66;snr=10.0;bytes=182
2026-07-22 08:04:50,firebase_upload,detection_system/node2,77.62,1,bytes=292
2026-07-22 08:04:51,lora_link,Node3,1098.86,1,rssi=-61;snr=9.75;bytes=182
2026-07-22 08:04:51,firebase_upload,detection_system/node3,75.44,1,bytes=292
2026-07-22 08:04:53,lora_link,Node1,1100.23,1,rssi=-65;snr=9.5;bytes=182
2026-07-22 08:04:53,firebase_upload,detection_system/node1,66.33,1,bytes=291
2026-07-22 08:04:54,lora_link,Node2,1099.26,1,rssi=-65;snr=9.25;bytes=182
2026-07-22 08:04:54,firebase_upload,detection_system/node2,83.29,1,bytes=292
2026-07-22 08:04:55,lora_link,Node3,1100.49,1,rssi=-60;snr=10.0;bytes=182
2026-07-22 08:04:55,firebase_upload,detection_system/node3,75.17,1,bytes=292
2026-07-22 08:04:57,lora_link,Node1,1100.95,1,rssi=-65;snr=9.75;bytes=182
2026-07-22 08:04:57,firebase_upload,detection_system/node1,81.76,1,bytes=292
2026-07-22 08:04:58,lora_link,Node2,1093.25,1,rssi=-66;snr=10.0;bytes=182
2026-07-22 08:04:58,firebase_upload,detection_system/node2,76.23,1,bytes=292
2026-07-22 08:04:59,lora_link,Node3,1099.96,1,rssi=-59;snr=10.25;bytes=182
2026-07-22 08:04:59,firebase_upload,detection_system/node3,80.03,1,bytes=293
2026-07-22 08:05:01,lora_link,Node1,1098.29,1,rssi=-65;snr=9.75;bytes=182
2026-07-22 08:05:01,firebase_upload,detection_system/node1,75.63,1,bytes=292
2026-07-22 08:05:02,lora_link,Node2,1100.63,1,rssi=-66;snr=10.0;bytes=182
2026-07-22 08:05:02,firebase_upload,detection_system/node2,76.55,1,bytes=292
2026-07-22 08:05:03,lora_link,Node3,1100.77,1,rssi=-61;snr=9.5;bytes=182
2026-07-22 08:05:03,firebase_upload,detection_system/node3,69.25,1,bytes=291
