timestamp,node,burst_count_mean,active_ch_mean,prediksi,fase
2026-07-15 22:14:35,Node3,9.600,12.400,0,deteksi
2026-07-15 22:14:40,Node3,9.800,13.200,0,deteksi
2026-07-15 22:14:45,Node3,9.400,12.400,0,deteksi
2026-07-15 22:14:49,Node3,9.200,12.200,0,deteksi
2026-07-15 22:14:54,Node3,9.600,12.000,0,deteksi
2026-07-15 22:14:59,Node3,9.000,12.400,0,deteksi
2026-07-15 22:15:03,Node3,7.800,11.400,0,deteksi
2026-07-15 22:15:08,Node3,7.600,10.800,0,deteksi
2026-07-15 22:15:13,Node3,7.800,12.800,0,deteksi
2026-07-15 22:16:36,Node3,9.800,11.800,1
2026-07-15 22:16:40,Node3,8.200,11.800,1
2026-07-15 22:16:45,Node3,7.800,12.000,1
2026-07-15 22:16:50,Node3,9.000,11.600,1
2026-07-15 22:16:55,Node3,10.000,12.800,1
2026-07-15 22:16:59,Node3,10.800,15.000,1
2026-07-15 22:17:04,Node3,9.000,14.600,1
2026-07-15 22:17:09,Node3,8.600,12.000,1
2026-07-15 22:17:13,Node3,8.800,12.000,1
2026-07-15 22:17:18,Node3,9.000,11.800,1
2026-07-15 22:17:23,Node3,8.800,10.000,1
2026-07-15 22:17:28,Node3,9.000,10.400,1
2026-07-15 22:17:32,Node3,9.600,11.400,1
2026-07-15 22:17:37,Node3,9.800,11.800,1
2026-07-15 22:17:42,Node3,9.400,11.200,1
2026-07-15 22:17:46,Node3,9.600,11.600,1
2026-07-15 22:17:51,Node3,10.400,12.600,1
2026-07-15 22:17:56,Node3,11.200,14.600,1
2026-07-15 22:18:01,Node3,11.000,13.800,1
2026-07-15 22:18:05,Node3,10.200,12.800,1
2026-07-15 22:18:10,Node3,9.400,15.600,1
2026-07-15 22:18:17,Node3,11.000,17.000,1
2026-07-15 22:18:22,Node3,12.000,14.200,1
2026-07-15 22:18:27,Node3,11.400,12.600,1
2026-07-15 22:18:31,Node3,9.600,10.800,1
2026-07-15 22:18:36,Node3,8.000,9.400,1
2026-07-15 22:18:41,Node3,8.200,10.600,1
2026-07-15 22:18:46,Node3,8.200,13.000,1
2026-07-15 22:18:50,Node3,8.200,12.400,1
2026-07-15 22:18:55,Node3,8.600,11.200,1
2026-07-15 22:19:02,Node3,9.200,11.400,1
2026-07-15 22:19:07,Node3,8.600,11.000,1
2026-07-15 22:19:12,Node3,8.600,11.200,1
2026-07-15 22:19:16,Node3,8.400,10.200,1
2026-07-15 22:19:21,Node3,8.400,11.000,1
2026-07-15 22:19:26,Node3,7.600,11.800,1
2026-07-15 22:19:31,Node3,7.000,12.400,1
2026-07-15 22:19:35,Node3,8.200,12.000,1
2026-07-15 22:19:40,Node3,9.600,13.200,1
2026-07-15 22:19:45,Node3,9.400,13.200,1
2026-07-15 22:19:49,Node3,9.000,11.200,1
2026-07-15 22:19:54,Node3,8.400,9.400,1
2026-07-15 22:19:59,Node3,7.800,9.200,1
2026-07-15 22:20:04,Node3,7.400,9.000,1
2026-07-15 22:20:11,Node3,7.600,9.600,1
2026-07-15 22:20:15,Node3,8.600,10.200,1
2026-07-15 22:20:20,Node3,8.000,10.200,1
2026-07-15 22:20:25,Node3,8.400,10.800,1
2026-07-15 22:20:30,Node3,8.800,11.600,1
2026-07-15 22:20:34,Node3,8.200,10.800,1
2026-07-15 22:20:39,Node3,8.200,10.400,1
2026-07-15 22:20:44,Node3,9.400,12.000,1
2026-07-15 22:20:49,Node3,9.400,12.000,1
2026-07-15 22:20:53,Node3,9.000,13.600,1
2026-07-15 22:20:58,Node3,8.200,15.400,1
2026-07-15 22:21:03,Node3,9.600,19.000,1
2026-07-15 22:21:07,Node3,9.800,16.600,1
2026-07-15 22:21:12,Node3,10.000,13.800,1
2026-07-15 22:21:17,Node3,9.000,12.600,1
2026-07-15 22:21:22,Node3,8.800,11.200,1
2026-07-15 22:21:26,Node3,8.000,10.200,1
2026-07-15 22:21:31,Node3,7.800,10.000,1
2026-07-15 22:21:36,Node3,9.000,11.400,1
2026-07-15 22:21:40,Node3,9.800,12.400,1
2026-07-15 22:21:45,Node3,10.200,12.000,1
2026-07-15 22:21:50,Node3,9.400,10.600,1
2026-07-15 22:21:55,Node3,8.200,9.800,1
2026-07-15 22:21:59,Node3,8.000,10.200,1
2026-07-15 22:22:04,Node3,8.400,11.600,1
2026-07-15 22:22:09,Node3,10.200,13.600,1
2026-07-15 22:22:14,Node3,11.400,14.400,1
2026-07-15 22:22:21,Node3,10.600,12.200,1
2026-07-15 22:22:25,Node3,10.000,14.200,1
2026-07-15 22:22:30,Node3,9.800,13.600,1
2026-07-15 22:22:35,Node3,9.600,13.400,1
2026-07-15 22:22:40,Node3,9.000,10.400,1
2026-07-15 22:22:44,Node3,8.800,9.600,1
2026-07-15 22:22:49,Node3,8.600,10.600,1
2026-07-15 22:22:54,Node3,8.000,11.200,1
2026-07-15 22:22:58,Node3,9.200,13.200,1
2026-07-15 22:23:03,Node3,11.000,14.400,1
2026-07-15 22:23:08,Node3,11.000,14.600,1
2026-07-15 22:23:13,Node3,9.400,12.000,1
2026-07-15 22:23:17,Node3,8.200,11.000,1
2026-07-15 22:23:50,Node3,7.600,9.800,0.000,0.000,0,belajar
2026-07-15 22:23:55,Node3,7.200,10.200,0.000,0.000,0,belajar
2026-07-15 22:24:00,Node3,8.200,11.200,0.000,0.000,0,belajar
2026-07-15 22:24:05,Node3,9.000,10.800,0.000,0.000,0,belajar
2026-07-15 22:24:09,Node3,10.400,13.400,0.000,0.000,0,belajar
2026-07-15 22:24:14,Node3,9.800,12.600,0.000,0.000,0,belajar
2026-07-15 22:24:19,Node3,8.000,11.800,0.000,0.000,0,belajar
2026-07-15 22:24:24,Node3,7.000,10.800,0.000,0.000,0,belajar
2026-07-15 22:24:28,Node3,7.600,11.800,0.000,0.000,0,belajar
2026-07-15 22:24:33,Node3,7.800,11.400,0.000,0.000,0,belajar
2026-07-15 22:24:38,Node3,8.000,9.800,0.000,0.000,0,belajar
2026-07-15 22:24:42,Node3,8.600,11.200,0.000,0.000,0,belajar
2026-07-15 22:24:47,Node3,8.400,10.800,0.000,0.000,0,belajar
2026-07-15 22:24:52,Node3,8.800,11.600,0.000,0.000,0,belajar
2026-07-15 22:24:57,Node3,8.200,10.400,0.000,0.000,0,belajar
2026-07-15 22:25:01,Node3,6.800,10.600,0.000,0.000,0,belajar
2026-07-15 22:25:06,Node3,8.200,11.400,0.000,0.000,0,belajar
2026-07-15 22:25:11,Node3,9.200,12.400,0.000,0.000,0,belajar
2026-07-15 22:25:16,Node3,10.600,13.600,0.000,0.000,0,belajar
2026-07-15 22:25:20,Node3,10.200,13.400,0.000,0.000,0,belajar
2026-07-15 22:25:25,Node3,9.800,13.000,8.200,11.300,0,deteksi
2026-07-15 22:25:30,Node3,9.600,12.600,8.300,11.400,0,deteksi
2026-07-15 22:25:34,Node3,8.600,11.200,8.500,11.500,0,deteksi
2026-07-15 22:25:39,Node3,8.600,10.600,8.600,11.500,0,deteksi
2026-07-15 22:25:44,Node3,9.200,11.800,8.600,11.500,0,deteksi
2026-07-15 22:25:49,Node3,10.800,15.000,8.600,11.500,0,deteksi
2026-07-15 22:25:53,Node3,11.600,19.400,8.600,11.500,1,deteksi
2026-07-15 22:25:58,Node3,12.400,20.600,8.600,11.500,1,deteksi
2026-07-15 22:26:03,Node3,12.400,21.600,8.600,11.500,1,deteksi
2026-07-15 22:26:08,Node3,12.800,20.600,8.600,11.500,1,deteksi
2026-07-15 22:26:12,Node3,12.600,20.400,8.600,11.500,1,deteksi
2026-07-15 22:26:17,Node3,13.000,18.400,8.600,11.500,1,deteksi
2026-07-15 22:26:22,Node3,10.400,12.600,8.600,11.500,0,deteksi
2026-07-15 22:26:26,Node3,9.600,12.800,8.600,11.500,0,deteksi
2026-07-15 22:26:31,Node3,10.400,13.400,8.700,11.700,0,deteksi
2026-07-15 22:26:36,Node3,10.600,13.800,9.000,11.700,0,deteksi
2026-07-15 22:26:41,Node3,10.000,13.200,9.200,12.100,0,deteksi
2026-07-15 22:26:45,Node3,10.000,13.000,9.400,12.500,0,deteksi
2026-07-15 22:26:50,Node3,9.600,12.600,9.600,12.600,0,deteksi
2026-07-15 22:26:55,Node3,9.800,13.000,9.600,12.600,0,deteksi
2026-07-15 22:27:00,Node3,9.200,12.000,9.700,12.700,0,deteksi
2026-07-15 22:27:04,Node3,9.400,10.800,9.700,12.700,0,deteksi
2026-07-15 22:27:09,Node3,11.200,12.600,9.700,12.700,0,deteksi
2026-07-15 22:27:14,Node3,11.000,14.600,9.800,12.700,0,deteksi
2026-07-15 22:27:18,Node3,10.400,14.400,9.900,12.900,0,deteksi
2026-07-15 22:27:23,Node3,9.600,12.800,9.900,12.900,0,deteksi
2026-07-15 22:27:28,Node3,9.400,12.200,9.800,12.800,0,deteksi
2026-07-15 22:27:33,Node3,10.000,13.000,9.700,12.700,0,deteksi
2026-07-15 22:27:37,Node3,9.800,12.000,9.900,12.800,0,deteksi
2026-07-15 22:27:42,Node3,9.400,11.400,9.900,12.800,0,deteksi
2026-07-15 22:27:47,Node3,9.000,10.600,9.900,12.800,0,deteksi
2026-07-15 22:27:52,Node3,7.800,11.000,9.900,12.800,0,deteksi
2026-07-15 22:27:56,Node3,8.800,14.800,9.800,12.700,0,deteksi
2026-07-15 22:28:01,Node3,10.200,17.600,9.700,12.800,0,deteksi
2026-07-15 22:28:06,Node3,11.800,19.200,9.800,12.900,0,deteksi
2026-07-15 22:28:10,Node3,12.800,19.000,9.800,12.900,1,deteksi
2026-07-15 22:28:15,Node3,11.800,19.200,9.800,12.900,0,deteksi
2026-07-15 22:28:20,Node3,10.400,18.800,9.800,12.900,0,deteksi
2026-07-15 22:28:25,Node3,9.600,17.400,9.800,12.900,0,deteksi
2026-07-15 22:28:29,Node3,11.600,19.800,9.700,12.900,0,deteksi
2026-07-15 22:28:34,Node3,11.400,21.600,9.800,13.000,0,deteksi
2026-07-15 22:28:39,Node3,10.600,20.200,9.900,13.700,0,deteksi
2026-07-15 22:28:44,Node3,10.400,19.800,10.100,14.500,0,deteksi
2026-07-15 22:28:48,Node3,10.800,17.000,10.300,14.700,0,deteksi
2026-07-15 22:28:53,Node3,11.000,17.000,10.300,15.900,0,deteksi
2026-07-15 22:28:58,Node3,11.200,18.000,10.300,17.000,0,deteksi
2026-07-15 22:29:05,Node3,10.800,18.800,10.300,17.200,0,deteksi
2026-07-15 22:29:10,Node3,10.600,19.200,10.400,17.500,0,deteksi
2026-07-15 22:29:14,Node3,9.800,18.000,10.500,17.800,0,deteksi
2026-07-15 22:29:19,Node3,9.800,18.000,10.500,18.000,0,deteksi
2026-07-15 22:29:24,Node3,9.000,17.800,10.500,18.000,0,deteksi
2026-07-15 22:29:28,Node3,9.600,17.600,10.500,18.000,0,deteksi
2026-07-15 22:29:33,Node3,9.600,17.000,10.500,18.000,0,deteksi
2026-07-15 22:29:38,Node3,11.400,18.200,10.500,18.000,0,deteksi
2026-07-15 22:29:43,Node3,10.800,18.000,10.600,18.100,0,deteksi
2026-07-15 22:29:47,Node3,11.400,18.400,10.700,18.100,0,deteksi
2026-07-15 22:29:52,Node3,11.400,19.800,10.700,18.100,0,deteksi
2026-07-15 22:29:57,Node3,12.000,21.600,10.700,18.100,0,deteksi
2026-07-15 22:30:02,Node3,11.000,21.600,10.800,18.100,0,deteksi
2026-07-15 22:30:06,Node3,11.000,20.200,10.800,18.300,0,deteksi
2026-07-15 22:30:11,Node3,11.200,18.800,10.800,18.300,0,deteksi
2026-07-15 22:30:16,Node3,12.200,18.000,10.800,18.300,0,deteksi
2026-07-15 22:30:20,Node3,10.600,15.600,10.900,18.100,0,deteksi
2026-07-15 22:30:25,Node3,9.000,13.400,10.900,18.000,0,deteksi
2026-07-15 22:33:20,Node3,10.400,15.600,0.000,0.000,0,kalibrasi
2026-07-15 22:33:25,Node3,10.800,16.600,0.000,0.000,0,kalibrasi
2026-07-15 22:33:30,Node3,12.000,18.800,0.000,0.000,0,kalibrasi
2026-07-15 22:33:34,Node3,12.000,19.800,0.000,0.000,0,kalibrasi
2026-07-15 22:33:39,Node3,11.000,20.600,0.000,0.000,0,kalibrasi
2026-07-15 22:33:44,Node3,11.200,20.400,0.000,0.000,0,kalibrasi
2026-07-15 22:33:48,Node3,10.600,20.800,0.000,0.000,0,kalibrasi
2026-07-15 22:33:53,Node3,9.600,17.200,0.000,0.000,0,kalibrasi
2026-07-15 22:33:58,Node3,9.200,14.400,0.000,0.000,0,kalibrasi
2026-07-15 22:34:03,Node3,9.800,14.200,0.000,0.000,0,kalibrasi
2026-07-15 22:34:07,Node3,9.600,14.800,0.000,0.000,0,kalibrasi
2026-07-15 22:34:12,Node3,9.000,15.600,0.000,0.000,0,kalibrasi
2026-07-15 22:34:17,Node3,9.200,15.400,0.000,0.000,0,kalibrasi
2026-07-15 22:34:21,Node3,9.200,16.200,0.000,0.000,0,kalibrasi
2026-07-15 22:34:26,Node3,10.400,15.800,0.000,0.000,0,kalibrasi
2026-07-15 22:34:31,Node3,10.800,16.200,0.000,0.000,0,kalibrasi
2026-07-15 22:34:36,Node3,10.400,15.400,0.000,0.000,0,kalibrasi
2026-07-15 22:34:40,Node3,10.000,16.200,0.000,0.000,0,kalibrasi
2026-07-15 22:34:45,Node3,11.000,18.200,0.000,0.000,0,kalibrasi
2026-07-15 22:34:50,Node3,9.800,18.000,0.000,0.000,0,kalibrasi
2026-07-15 22:34:55,Node3,9.600,17.000,10.400,16.200,0,deteksi
2026-07-15 22:34:59,Node3,9.400,15.800,10.400,16.200,0,deteksi
2026-07-15 22:35:04,Node3,10.000,16.800,10.400,16.200,0,deteksi
2026-07-15 22:35:09,Node3,9.200,16.200,10.400,16.200,0,deteksi
2026-07-15 22:35:14,Node3,8.800,16.000,10.400,16.200,0,deteksi
2026-07-15 22:35:18,Node3,9.200,16.400,10.400,16.200,0,deteksi
2026-07-15 22:35:23,Node3,10.800,18.800,10.400,16.200,0,deteksi
2026-07-15 22:35:28,Node3,12.000,20.600,10.400,16.200,0,deteksi
2026-07-15 22:35:32,Node3,13.400,20.400,10.400,16.200,0,deteksi
2026-07-15 22:35:37,Node3,13.400,21.000,10.400,16.200,0,deteksi
2026-07-15 22:35:42,Node3,12.600,20.000,10.400,16.200,0,deteksi
2026-07-15 22:35:47,Node3,10.600,18.200,10.400,16.200,0,deteksi
2026-07-15 22:35:51,Node3,10.800,17.000,10.400,16.200,0,deteksi
2026-07-15 22:35:56,Node3,11.800,19.000,10.400,16.200,0,deteksi
2026-07-15 22:36:01,Node3,12.600,20.800,10.400,16.200,0,deteksi
2026-07-15 22:36:05,Node3,12.800,21.600,10.400,16.200,0,deteksi
2026-07-15 22:36:10,Node3,11.600,22.200,10.400,16.200,0,deteksi
2026-07-15 22:36:15,Node3,11.000,20.600,10.400,16.200,0,deteksi
2026-07-15 22:36:20,Node3,11.000,17.600,10.400,16.200,0,deteksi
2026-07-15 22:36:24,Node3,11.000,18.000,10.400,16.200,0,deteksi
2026-07-15 22:36:29,Node3,12.200,20.800,10.400,16.200,0,deteksi
2026-07-15 22:36:34,Node3,12.800,20.200,10.400,16.200,0,deteksi
2026-07-15 22:36:39,Node3,11.200,19.600,10.400,16.200,0,deteksi
2026-07-15 22:36:43,Node3,10.400,20.000,10.400,16.200,0,deteksi
2026-07-15 22:36:48,Node3,9.600,17.400,10.400,16.200,0,deteksi
2026-07-15 22:36:53,Node3,9.600,16.400,10.400,16.200,0,deteksi
2026-07-15 22:36:57,Node3,10.200,17.800,10.400,16.200,0,deteksi
2026-07-15 22:37:02,Node3,12.200,21.400,10.400,16.200,0,deteksi
2026-07-15 22:37:07,Node3,13.400,25.000,10.400,16.200,1,deteksi
2026-07-15 22:37:12,Node3,12.200,24.800,10.400,16.200,0,deteksi
2026-07-15 22:37:16,Node3,11.200,23.000,10.400,16.200,0,deteksi
2026-07-15 22:37:21,Node3,11.800,25.200,10.400,16.200,0,deteksi
2026-07-15 22:37:26,Node3,12.000,23.800,10.400,16.200,0,deteksi
2026-07-15 22:37:31,Node3,12.000,22.200,10.400,16.200,0,deteksi
2026-07-15 22:37:35,Node3,10.600,19.400,10.400,16.200,0,deteksi
2026-07-15 22:37:40,Node3,9.000,16.400,10.400,16.200,0,deteksi
2026-07-15 22:37:45,Node3,9.000,15.200,10.400,16.200,0,deteksi
2026-07-15 22:37:49,Node3,9.800,15.400,10.400,16.200,0,deteksi
2026-07-15 22:37:54,Node3,9.200,12.400,10.400,16.200,0,deteksi
2026-07-15 22:37:59,Node3,9.200,11.400,10.400,16.200,0,deteksi
2026-07-15 22:38:04,Node3,9.200,10.600,10.400,16.200,0,deteksi
2026-07-15 22:38:08,Node3,8.400,9.800,10.400,16.200,0,deteksi
2026-07-15 22:38:13,Node3,9.000,11.200,10.400,16.200,0,deteksi
2026-07-15 22:38:18,Node3,8.600,11.200,10.400,16.200,0,deteksi
2026-07-15 22:38:23,Node3,8.400,10.000,10.400,16.200,0,deteksi
2026-07-15 22:38:27,Node3,9.600,11.200,10.400,16.200,0,deteksi
2026-07-15 22:38:34,Node3,10.200,11.800,10.400,16.200,0,deteksi
2026-07-15 22:38:39,Node3,9.200,12.400,10.400,16.200,0,deteksi
2026-07-15 22:38:44,Node3,7.600,10.800,10.400,16.200,0,deteksi
2026-07-15 22:38:49,Node3,8.200,12.400,10.400,16.200,0,deteksi
2026-07-15 22:38:53,Node3,8.600,11.200,10.400,16.200,0,deteksi
2026-07-15 22:38:58,Node3,9.400,11.000,10.400,16.200,0,deteksi
2026-07-15 22:40:02,Node3,12.400,15.000,0.000,0.000,0,kalibrasi
2026-07-15 22:40:07,Node3,11.200,13.200,0.000,0.000,0,kalibrasi
2026-07-15 22:40:11,Node3,10.400,12.800,0.000,0.000,0,kalibrasi
2026-07-15 22:40:16,Node3,11.000,14.000,0.000,0.000,0,kalibrasi
2026-07-15 22:40:21,Node3,11.600,14.800,0.000,0.000,0,kalibrasi
2026-07-15 22:40:25,Node3,12.200,15.200,0.000,0.000,0,kalibrasi
2026-07-15 22:40:30,Node3,12.000,14.200,0.000,0.000,0,kalibrasi
2026-07-15 22:40:35,Node3,11.200,13.400,0.000,0.000,0,kalibrasi
2026-07-15 22:40:40,Node3,9.800,12.000,0.000,0.000,0,kalibrasi
2026-07-15 22:40:44,Node3,9.400,12.200,0.000,0.000,0,kalibrasi
2026-07-15 22:40:49,Node3,9.800,15.400,11.200,13.700,0,deteksi
2026-07-15 22:40:54,Node3,10.400,15.600,11.200,13.700,0,deteksi
2026-07-15 22:40:59,Node3,11.400,15.800,11.200,13.700,0,deteksi
2026-07-15 22:41:03,Node3,12.200,16.200,11.200,13.700,0,deteksi
2026-07-15 22:41:08,Node3,12.200,16.600,11.200,13.700,0,deteksi
2026-07-15 22:41:13,Node3,11.800,15.600,11.200,13.700,0,deteksi
2026-07-15 22:41:17,Node3,11.400,18.000,11.200,13.700,0,deteksi
2026-07-15 22:41:22,Node3,12.400,21.600,11.200,13.700,1,deteksi
2026-07-15 22:41:27,Node3,13.000,24.000,11.200,13.700,1,deteksi
2026-07-15 22:41:32,Node3,13.400,28.200,11.200,13.700,1,deteksi
2026-07-15 22:41:36,Node3,13.000,30.000,11.200,13.700,1,deteksi
2026-07-15 22:41:41,Node3,13.400,29.600,11.200,13.700,1,deteksi
2026-07-15 22:41:46,Node3,13.000,25.400,11.200,13.700,1,deteksi
2026-07-15 22:41:51,Node3,11.400,21.000,11.200,13.700,1,deteksi
2026-07-15 22:41:55,Node3,10.400,18.800,11.200,13.700,1,deteksi
2026-07-15 22:42:00,Node3,12.600,17.000,11.200,13.700,0,deteksi
2026-07-15 22:42:05,Node3,12.000,20.400,11.200,13.700,1,deteksi
2026-07-15 22:42:09,Node3,11.800,18.800,11.200,13.700,1,deteksi
2026-07-15 22:42:14,Node3,11.000,19.400,11.200,13.700,1,deteksi
2026-07-15 22:42:19,Node3,11.600,18.200,11.200,13.700,0,deteksi
2026-07-15 22:42:24,Node3,11.400,17.200,11.200,13.700,0,deteksi
2026-07-15 22:42:28,Node3,12.200,16.800,11.200,13.700,0,deteksi
2026-07-15 22:42:33,Node3,13.400,17.400,11.200,13.700,0,deteksi
2026-07-15 22:42:38,Node3,12.600,18.400,11.200,13.700,0,deteksi
2026-07-15 22:42:43,Node3,11.200,16.800,11.200,13.700,0,deteksi
2026-07-15 22:42:47,Node3,10.400,14.200,11.200,13.700,0,deteksi
2026-07-15 22:42:52,Node3,11.200,15.600,11.200,13.700,0,deteksi
2026-07-15 22:42:57,Node3,11.400,14.800,11.200,13.700,0,deteksi
2026-07-15 22:43:01,Node3,12.000,14.800,11.200,13.700,0,deteksi
2026-07-15 22:43:06,Node3,11.600,13.400,11.200,13.700,0,deteksi
2026-07-15 22:43:11,Node3,10.400,13.200,11.200,13.700,0,deteksi
2026-07-15 22:43:16,Node3,10.000,13.400,11.200,13.700,0,deteksi
2026-07-15 22:43:20,Node3,9.400,13.400,11.200,13.700,0,deteksi
2026-07-15 22:43:25,Node3,10.400,16.600,11.200,13.700,0,deteksi
2026-07-15 22:43:30,Node3,11.400,16.800,11.200,13.700,0,deteksi
2026-07-15 22:43:34,Node3,11.000,16.600,11.200,13.700,0,deteksi
2026-07-15 22:43:39,Node3,11.200,13.600,11.200,13.700,0,deteksi
2026-07-15 22:43:44,Node3,11.000,13.400,11.200,13.700,0,deteksi
2026-07-15 22:43:49,Node3,9.800,13.200,11.200,13.700,0,deteksi
2026-07-15 22:43:53,Node3,10.200,13.400,11.200,13.700,0,deteksi
2026-07-15 22:43:58,Node3,11.200,12.800,11.200,13.700,0,deteksi
2026-07-15 22:44:03,Node3,11.800,14.400,11.200,13.700,0,deteksi
2026-07-15 22:44:08,Node3,10.400,13.000,11.200,13.700,0,deteksi
2026-07-15 22:44:12,Node3,10.600,13.800,11.200,13.700,0,deteksi
2026-07-15 22:44:17,Node3,9.800,14.200,11.200,13.700,0,deteksi
2026-07-15 22:44:22,Node3,9.400,14.000,11.200,13.700,0,deteksi
2026-07-15 22:44:27,Node3,9.800,13.000,11.200,13.700,0,deteksi
2026-07-15 22:44:31,Node3,10.200,12.400,11.200,13.700,0,deteksi
